Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
Australia,OCEANIA                            ,2005,Female,2.63,66.8,33.2,19.6,83.3,4.9,13.8,841.0,0.0,38.7,391.0,0.0,2430.0,292.0
Austria,WESTERN EUROPE                     ,2005,Female,100.0,76.8,23.2,19.2,82.3,5.09,10.8,1950.0,0.0,33.4,306.0,0.0,1520.0,78.7
Azerbaijan,C.W. OF IND. STATES ,2005,Female,103.0,18.5,81.5,87.5,71.8,3.34,11.1,777.0,0.0,70.5,372.0,0.0,362.0,386.0
Bahamas,LATIN AMER. & CARIB    ,2005,Female,32.9,47.6,52.4,29.9,76.8,3.84,12.2,1450.0,0.0,40.0,414.0,0.0,9.44,62.8
Bahrain,NEAR EAST                          ,2005,Female,1170.0,67.5,32.5,28.2,76.3,3.0,9.71,1310.0,0.0,40.0,440.0,0.0,75.5,19.0
Bangladesh,ASIA (EX. NEAR EAST)         ,2005,Female,1100.0,39.0,61.0,64.9,68.7,1.54,5.49,875.0,0.0,28.0,508.0,0.0,12100.0,4320.0
Barbados,LATIN AMER. & CARIB    ,2005,Female,637.0,65.8,34.2,35.1,76.4,5.55,11.0,915.0,0.0,40.0,495.0,0.0,14.2,29.4
Belarus,C.W. OF IND. STATES ,2005,Female,47.4,75.5,24.5,21.8,74.3,5.58,11.3,612.0,0.0,55.6,366.0,0.0,4030.0,1120.0
Belgium,WESTERN EUROPE                     ,2005,Female,348.0,74.6,25.4,17.5,81.8,5.6,12.6,2420.0,0.0,41.7,321.0,0.0,2250.0,177.0
Belize,LATIN AMER. & CARIB    ,2005,Female,12.4,52.8,47.2,34.0,72.0,5.33,8.8,580.0,0.0,60.3,420.0,0.0,17.8,54.8
Benin,SUB-SAHARAN AFRICA                 ,2005,Female,70.8,44.2,55.8,51.1,58.8,3.62,3.25,598.0,0.0,40.7,430.0,0.0,585.0,224.0
Bhutan,ASIA (EX. NEAR EAST)         ,2005,Female,17.2,79.3,20.7,16.8,65.1,4.3,3.22,631.0,0.0,40.9,458.0,0.0,41.9,9.86
Bolivia,LATIN AMER. & CARIB    ,2005,Female,8.42,60.1,39.9,30.5,65.8,5.59,8.98,855.0,0.0,39.2,405.0,0.0,585.0,583.0
Bosnia and Herzegovina,EASTERN EUROPE                     ,2005,Female,74.1,57.6,42.4,45.2,77.8,0.0,9.39,670.0,0.0,30.0,379.0,0.0,328.0,128.0
Botswana,SUB-SAHARAN AFRICA                 ,2005,Female,3.27,62.2,37.8,6.44,53.9,9.32,8.77,398.0,0.0,47.0,397.0,0.0,322.0,286.0
Brazil,LATIN AMER. & CARIB    ,2005,Female,22.4,40.3,59.7,35.0,75.9,4.39,7.99,1110.0,0.0,37.9,417.0,0.0,11800.0,54400.0
Brunei,ASIA (EX. NEAR EAST)         ,2005,Female,69.3,86.5,13.5,16.3,78.0,2.83,14.3,1520.0,0.0,40.0,455.0,0.0,14.5,4.56
Bulgaria,EASTERN EUROPE                     ,2005,Female,70.8,60.9,39.1,38.9,76.2,3.81,10.4,1090.0,0.0,38.9,362.0,0.0,1300.0,259.0
Burkina Faso,SUB-SAHARAN AFRICA                 ,2005,Female,49.1,39.6,60.4,30.7,54.0,4.27,2.0,481.0,0.0,38.1,455.0,0.0,772.0,117.0
Burundi,SUB-SAHARAN AFRICA                 ,2005,Female,289.0,28.6,71.4,35.2,54.4,3.6,3.75,423.0,0.0,35.1,424.0,0.0,684.0,77.2
